-326.000000,-1142.000000,15276.000000,-46.000000,-4.000000,-13.000000,119.000000,106.000000,34.000000, -63587903, -63587902
-252.000000,-1086.000000,15434.000000,-64.000000,27.000000,-12.000000,117.000000,101.000000,39.000000, -63587889, -63587888
-360.000000,-1070.000000,15298.000000,-69.000000,32.000000,-18.000000,123.000000,103.000000,39.000000, -63587877, -63587876
-282.000000,-1046.000000,15312.000000,-81.000000,32.000000,-15.000000,117.000000,101.000000,37.000000, -63587865, -63587865
-356.000000,-1112.000000,15232.000000,-77.000000,21.000000,-13.000000,119.000000,99.000000,37.000000, -63587854, -63587853
-204.000000,-1398.000000,15218.000000,-88.000000,-7.000000,-15.000000,118.000000,102.000000,40.000000, -63587840, -63587839
-166.000000,-1408.000000,15062.000000,-78.000000,-10.000000,-27.000000,121.000000,103.000000,32.000000, -63587828, -63587827
-142.000000,-1398.000000,15054.000000,-82.000000,-16.000000,-37.000000,119.000000,106.000000,37.000000, -63587816, -63587816
-6.000000,-1464.000000,15068.000000,-74.000000,-14.000000,-39.000000,127.000000,102.000000,33.000000, -63587805, -63587804
-268.000000,-1468.000000,14824.000000,-67.000000,-18.000000,-44.000000,125.000000,104.000000,40.000000, -63587793, -63587792
-230.000000,-1530.000000,14842.000000,-22.000000,-13.000000,-48.000000,119.000000,106.000000,37.000000, -63587779, -63587779
-280.000000,-1560.000000,14818.000000,1.000000,-11.000000,-48.000000,118.000000,98.000000,31.000000, -63587768, -63587767
-266.000000,-1602.000000,14896.000000,5.000000,-21.000000,-58.000000,119.000000,108.000000,37.000000, -63587756, -63587755
-150.000000,-1606.000000,14924.000000,-4.000000,-37.000000,-67.000000,121.000000,103.000000,39.000000, -63587744, -63587743
-138.000000,-1400.000000,15114.000000,2.000000,-76.000000,-81.000000,118.000000,95.000000,40.000000, -63587730, -63587730
20.000000,-1358.000000,15198.000000,24.000000,-80.000000,-85.000000,114.000000,108.000000,37.000000, -63587719, -63587718
-58.000000,-1246.000000,15376.000000,34.000000,-76.000000,-85.000000,120.000000,100.000000,38.000000, -63587707, -63587706
-180.000000,-1220.000000,15456.000000,22.000000,-66.000000,-84.000000,117.000000,99.000000,32.000000, -63587695, -63587695
-260.000000,-1242.000000,15542.000000,-6.000000,-54.000000,-81.000000,120.000000,102.000000,33.000000, -63587684, -63587683
-398.000000,-1478.000000,15456.000000,-106.000000,-29.000000,-84.000000,118.000000,109.000000,38.000000, -63587670, -63587669
-484.000000,-1464.000000,15396.000000,-133.000000,-20.000000,-82.000000,121.000000,94.000000,44.000000, -63587658, -63587658
-460.000000,-1400.000000,15370.000000,-125.000000,-15.000000,-81.000000,117.000000,103.000000,39.000000, -63587647, -63587646
-450.000000,-1434.000000,15242.000000,-80.000000,-8.000000,-80.000000,120.000000,98.000000,33.000000, -63587635, -63587635
-394.000000,-1388.000000,15274.000000,-20.000000,3.000000,-67.000000,120.000000,100.000000,47.000000, -63587624, -63587623
-326.000000,-1534.000000,15372.000000,41.000000,28.000000,-54.000000,118.000000,100.000000,38.000000, -63587610, -63587610
-352.000000,-1550.000000,15402.000000,19.000000,33.000000,-55.000000,120.000000,107.000000,43.000000, -63587599, -63587598
-280.000000,-1628.000000,15312.000000,-29.000000,27.000000,-55.000000,125.000000,107.000000,35.000000, -63587587, -63587587
-204.000000,-1628.000000,15144.000000,-65.000000,32.000000,-55.000000,118.000000,93.000000,33.000000, -63587576, -63587575
-146.000000,-1494.000000,15162.000000,-75.000000,30.000000,-49.000000,121.000000,96.000000,37.000000, -63587564, -63587564
-294.000000,-1346.000000,15074.000000,-48.000000,32.000000,-3.000000,125.000000,95.000000,35.000000, -63587550, -63587550
-410.000000,-1226.000000,15140.000000,-39.000000,36.000000,25.000000,126.000000,101.000000,39.000000, -63587539, -63587538
-428.000000,-1276.000000,15110.000000,-51.000000,38.000000,38.000000,123.000000,99.000000,46.000000, -63587527, -63587526
-402.000000,-1356.000000,15124.000000,-64.000000,38.000000,28.000000,120.000000,100.000000,43.000000, -63587516, -63587515
-420.000000,-1336.000000,15124.000000,-62.000000,36.000000,3.000000,125.000000,98.000000,43.000000, -63587504, -63587504
-376.000000,-1248.000000,15212.000000,-43.000000,28.000000,-67.000000,121.000000,103.000000,39.000000, -63587491, -63587490
-402.000000,-1214.000000,15258.000000,-25.000000,24.000000,-94.000000,122.000000,102.000000,35.000000, -63587479, -63587478
-380.000000,-1126.000000,15374.000000,-28.000000,17.000000,-101.000000,118.000000,104.000000,35.000000, -63587467, -63587467
-318.000000,-1084.000000,15338.000000,-57.000000,10.000000,-97.000000,125.000000,98.000000,35.000000, -63587456, -63587455
-318.000000,-1252.000000,15328.000000,-79.000000,8.000000,-89.000000,122.000000,95.000000,38.000000, -63587444, -63587444
-338.000000,-1356.000000,15130.000000,-78.000000,21.000000,-50.000000,119.000000,99.000000,37.000000, -63587430, -63587430
-218.000000,-1524.000000,15194.000000,-56.000000,22.000000,-28.000000,126.000000,108.000000,39.000000, -63587419, -63587418
-216.000000,-1534.000000,15182.000000,-41.000000,15.000000,-14.000000,120.000000,104.000000,40.000000, -63587407, -63587407
-298.000000,-1530.000000,15116.000000,-53.000000,16.000000,-11.000000,123.000000,103.000000,39.000000, -63587396, -63587395
-332.000000,-1440.000000,15010.000000,-64.000000,10.000000,-6.000000,122.000000,95.000000,43.000000, -63587384, -63587383
-470.000000,-1316.000000,14994.000000,-68.000000,-13.000000,0.000000,122.000000,104.000000,40.000000, -63587370, -63587369
