39,158,41
40,150,38
35,153,37
38,150,35
40,155,40
40,159,35
39,160,39
35,153,37
37,149,32
42,151,46
38,157,35
37,160,39
37,156,37
34,155,38
43,159,38
39,158,37
42,156,39
42,160,37
34,159,33
40,157,33
40,159,38
35,158,34
42,163,32
43,157,35
43,164,40
37,158,39
44,153,39
43,161,33
44,158,32
38,155,38
37,158,39
39,151,44
36,161,38
42,151,37
39,160,41
43,155,38
42,160,39
38,157,43
42,160,34
35,160,44
40,159,38
43,155,38
39,156,39
43,157,43
40,159,33
44,153,44
45,157,38
43,159,38
37,160,37
40,157,40
38,159,43
39,156,39
44,156,37
36,155,38
40,157,40
37,153,41
42,153,39
42,160,37
42,153,39
42,160,37
38,157,40
36,161,40
36,157,40
38,164,35
45,152,43
40,164,40
44,158,41
38,155,40
36,155,38
39,156,41
38,164,33
32,158,32
37,158,39
38,159,40
38,159,33
42,160,39
39,165,37
36,155,43
43,155,28
40,157,35
36,155,33
37,163,41
43,159,35
40,157,35
36,155,43
38,159,40
35,156,34
38,161,35
31,155,35
40,152,38
45,159,33
40,155,35
35,156,34
40,152,40
39,153,37
40,155,38
42,160,39
35,158,41
37,158,39
38,157,40
38,157,45
35,158,39
43,161,38
40,155,40
40,155,45
42,153,39
38,157,43
47,161,43
40,157,38
44,158,41
45,161,38
35,158,41
38,159,40
42,153,37
37,163,44
36,161,40
37,163,37
36,159,43
43,152,40
44,151,44
39,158,34
40,155,38
35,160,37
40,161,35
43,157,35
44,167,34
30,158,37
36,157,35
40,159,38
38,164,33
40,164,35
38,152,43
38,159,38
39,158,39
40,157,35
42,160,37
30,153,41
40,159,33
36,159,40
36,159,35
34,159,40
37,156,37
42,153,37
30,156,32
32,163,34
39,160,37
42,151,34
40,150,45
39,163,32
39,158,39
37,156,41
37,158,41
39,149,44
34,157,43
42,156,39
39,160,41
43,155,40
40,157,45
37,156,39
35,163,37
36,155,40
42,153,46
32,156,34
31,155,43
32,158,37
36,159,40
38,159,40
36,159,43
38,157,40
42,151,39
37,158,39
31,159,47
34,157,38
42,151,44
45,155,40
37,158,34
39,156,37
39,160,41
35,160,41
40,152,43
36,155,35
38,152,38
38,161,38
36,161,33
35,158,39
42,160,39
36,159,40
35,160,34
38,159,33
35,153,37
30,158,32
38,159,38
38,157,33
38,159,38
31,152,38
40,150,38
40,157,35
42,169,39
38,157,35
35,160,32
42,153,37
39,158,32
39,158,37
40,159,38
31,161,38
40,157,35
42,149,39
39,163,39
39,153,41
40,155,40
34,161,45
36,155,43
37,158,37
35,158,41
35,153,37
40,155,43
38,150,43
36,159,43
39,153,41
36,159,40
35,160,41
43,159,35
38,157,43
34,164,35
39,165,34
37,158,39
40,157,40
42,156,39
44,160,34
38,155,33
39,158,34
42,158,29
42,156,37
42,153,29
36,164,38
34,159,40
36,157,38
38,157,40
36,152,33
43,157,35
45,164,35
35,160,29
32,153,39
38,159,38
38,155,35
36,157,33
32,160,44
35,156,37
40,155,35
36,155,40
39,153,39
37,158,32
37,156,44
34,155,35
44,156,34
44,163,41
40,161,33
40,159,38
35,153,37
39,156,49
35,153,41
39,163,41
38,159,35
39,156,37
39,153,37
45,152,45
35,156,37
